période,ville,département,nom,site web,logo,adresse,part de marché en chiffre d'affaire,prix moyen(€),durée moyenne(jours),surface moyenne(m2),fourchette taux mandat exclusif
2015-2016,Levallois-Perret,92,Imax,http://www.imax.fr,https://blog.yanport.com/content/images/2016/09/imax.png,34 Rue Trébois 92300 Levallois-Perret,0.107,500000,55,60,0.2-0.3
2015-2016,Levallois-Perret,92,Building Partners,http://www.bpimmo.com/,https://blog.yanport.com/content/images/2016/09/building-partners.png,87 Rue Louis Rouquier 92300 Levallois-Perret,0.082,660000,112,75,0-0.1
2015-2016,Levallois-Perret,92,Impact Immo,http://www.impact-immo.com/,https://blog.yanport.com/content/images/2016/09/impact-immo.png,	36 Rue Gabriel Péri 92300 Levallois-Perret,0.065,460000,48,56,0.3-0.4
2015-2016,Levallois-Perret,92,Laforêt,http://www.laforet.com/,https://blog.yanport.com/content/images/2016/09/laforet-levallois.png,63 Rue du Président Wilson 92300 Levallois-Perret,0.062,450000,64,57,0.1-0.2
2015-2016,Levallois-Perret,92,L'Agence de Levallois,http://www.agence-levallois.fr,https://blog.yanport.com/content/images/2016/09/agence-levallois.png,5 Place de la République 92300 Levallois-Perret,0.048,470000,66,58,0.4-0.5
2015-2016,Levallois-Perret,92,Mister Property,http://www.mister-property.fr/,https://blog.yanport.com/content/images/2016/09/mister-property-small.png,70 Rue Aristide Briand 92300 Levallois-Perret,0.045,530000,121,63,0.4-0.5
2015-2016,Levallois-Perret,92,Era Immobilier,http://www.eralevallois.fr/,https://blog.yanport.com/content/images/2016/09/era-immobilier.png,61 Rue Voltaire 92300 Levallois-Perret,0.038,470000,129,57,0.1-0.2
2015-2016,Levallois-Perret,92,Consultants Immobilier,http://www.consultants-immobilier.com/,https://blog.yanport.com/content/images/2016/09/consultants-immobilier-with-background.png,77 Rue Voltaire 92300 Levallois-Perret,0.034,700000,105,80,0.1-0.2
2015-2016,Levallois-Perret,92,Adresse En Ville,http://www.adresse-en-ville.com/,https://blog.yanport.com/content/images/2016/09/adresse-en-ville.png,41 Avenue Georges Pompidou 92300 Levallois-Perret,0.033,700000,111,65,0-0.1
2015-2016,Levallois-Perret,92,Guy Hoquet,http://www.guy-hoquet.com/Agence/713/ile-de-france/hauts-de-seine/levallois-perret-92300.aspx,https://blog.yanport.com/content/images/2016/09/guy-hoquet.png,41 Rue Gabriel Péri 92300 Levallois-Perret,0.033,470000,84,58,0.1-0.2
